Submission Date,Who was your coaching call with?,What did you work on in the coaching call?,Was the purpose of the call fulfilled? (Did the coach successfully help you with what you wanted?),Were all of your questions answered and clearly explained?,How was the coaches attitude on the call?,Rate your overall experience in the call,Do you have any ideas / recommendations that would help improve your experience?,Are there any improvements you'd like to see from the coaches?,utm_source,utm_campaign,utm_medium,utm_term,Submission ID,Week-Year,Avg,Streak
"2022 January 13, 10:33AM",Michael Bondarenko,Product Research,5,5,5,5,None. Was a great call.,None. Michael was easy to chat with and gave me confidence with how my product research was going.,,,,,5705822487664677635,,5,
"2022 January 13, 11:19AM",Joshua Fimmano,"Website Optimisation
Ad Account Review",5,5,5,5,Thank you can,No very helpful no need for improvements,,,,,5705815858393134616,,5,
"2022 January 13, 4:30PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5704989033815311970,,5,
"2022 January 14, 6:38AM",Michael Bondarenko,"Product Research
Website Optimisation",5,5,5,5,Appreciate Michaels call to assist keep us moving in the right direction.,Good energy on this call - appreciate your willingness to help us,,,,,5704911837217919977,,5,
"2022 January 14, 9:13AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,,,,,5704852109303678503,,5,
"2022 January 14, 9:21AM",Michael Bondarenko,Product Research,5,5,5,5,N/A,N/A,,,,,5704733519308648612,,5,
"2022 January 15, 12:16PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5704139606418515596,,5,
"2022 January 16, 11:42AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5704135061232422957,,5,
"2022 January 17, 10:57AM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5704099064019746487,,5,
"2022 January 17, 1:33PM",Michael Bondarenko,Product Research,5,5,5,5,"Everything was explained well, no recommendations :)","No, Michael was very confident in me and made me feel exited for the next steps! Great attitude!",,,,,5704082257816730664,,5,
"2022 January 18, 9:01AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5703958795135435461,,5,
"2022 January 18, 9:03AM",Michael Bondarenko,Ad Angle Review,5,5,5,5,,,,,,,5703929774581459153,,5,
"2022 January 18, 10:43AM",Michael Bondarenko,"Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5703810207215213559,,5,
"2022 January 18, 1:40PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5703756478124977936,,5,
"2022 January 18, 2:34PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5703129038715193609,,5,
"2022 January 18, 4:19PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5703097895016378022,,5,
"2022 January 19, 9:01AM",Michael Bondarenko,Product Research,4,4,4,4,,,,,,,5703079355815070995,,4,
"2022 January 20, 8:47AM",Michael Bondarenko,Ad Account Review,5,5,5,5,Perfect as always,Only improvements would be to clone them,,,,,5703076031918395990,,5,
"2022 January 20, 10:06AM",Joshua Fimmano,Website Optimisation,5,5,5,5,So far nothing. All good!,Josh was nice and friendly to talk to. Made me feel comfortable:)),,,,,5702350509125556678,,5,
"2022 January 20, 3:18PM",Joshua Fimmano,"Product Research
Ad Angle Review",5,5,5,5,,,,,,,5702327357508529600,,5,
"2022 January 20, 3:32PM",Joshua Fimmano,Website Optimisation,5,5,5,5,no everything was perfect!,"No improvements, both guys are very transparent & give great help",,,,,5702312078718497166,,5,
"2022 January 22, 8:02AM",Joshua Fimmano,"Website Optimisation
Ad Account Review",5,5,5,5,Already awesome,,,,,,5702109369169411761,,5,
"2022 January 23, 11:14AM",Joshua Fimmano,Website Optimisation,5,5,5,5,Josh mentioned adding in checklists for each page to the course. I agree with him and think they will help,No,,,,,5702067845421355328,,5,
"2022 January 24, 2:58PM",Michael Bondarenko,Ad Angle Review,5,5,5,5,,,,,,,5702026818423295447,,5,
"2022 January 25, 9:01AM",Michael Bondarenko,"Website Optimisation
Ad Angle Review",5,5,5,5,,,,,,,5701992740227805186,,5,
"2022 January 25, 10:04AM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5701426573788176325,,5,
"2022 January 25, 2:08PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5701426123781237249,,5,
"2022 January 25, 3:36PM",Joshua Fimmano,Product Research,5,5,5,5,Perfect,Well done!,,,,,5700653453811310568,,5,
"2022 January 25, 3:39PM",Joshua Fimmano,Product Research,5,5,5,5,"No recommendation, very pleased with the call.","I don't believe so, everything went well and smoothly.",,,,,5700431244929249091,,5,
"2022 January 25, 4:33PM",Joshua Fimmano,Website Optimisation,5,5,5,5,thank you,no all good,,,,,5700341408506255726,,5,
"2022 January 27, 8:38AM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5700236005114102835,,5,
"2022 January 28, 2:32PM",Joshua Fimmano,Ad Angle Review,5,5,5,5,"Absolutely excellent, all clear and thanks ?",,,,,,5699777234506562869,,5,
"2022 January 28, 4:00PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5699470450436811014,,5,
"2022 January 30, 1:56PM",Joshua Fimmano,Product Research,5,5,5,5,No. Josh is the best,Not really,,,,,5699448316934836699,,5,
"2022 January 31, 9:03AM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5699434420762677476,,5,
"2022 January 31, 1:37PM",Michael Bondarenko,Ad Angle Review,5,5,5,5,,,,,,,5699331047661420214,,5,
"2022 February 1, 8:45AM",Michael Bondarenko,Website Optimisation,5,5,5,5,,,,,,,5699046216307284185,,5,
"2022 February 1, 9:32AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,,,,,5698771133513170161,,5,
"2022 February 1, 9:34AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5698739758651941836,,5,
"2022 February 1, 10:17AM",Joshua Fimmano,Website Optimisation,5,5,5,5,"No i thought it was great. Im not very tech savvy, Josh explained things really well, and love that the word document with everything was emailed back to me, as i was originally trying to write things down, but makes it so much easier with the screen shots and looking over it, Josh also helped with my product research. I think he has fitted into the role perfectly.",No Josh was Great!!! ***** (5 stars),,,,,5698690132872998967,,5,
"2022 February 1, 12:32PM",Joshua Fimmano,Product Research,3,3,3,3,Didn't really find the call helpful and felt like he didn't know how to answer some of my questions. Didn't really understand my products and how to make them work in a general/home niche store,,,,,,5698540108223998148,,3,
"2022 February 1, 12:54PM",Michael Bondarenko,Website Optimisation,5,5,5,5,no ideas he was good at what he does.,no improvements everything he did was perfect.,,,,,5698115895873155682,,5,
"2022 February 1, 1:31PM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5698044509817662687,,5,
"2022 February 4, 8:54PM",Joshua Fimmano,Website Optimisation,4,4,5,4,,,,,,,5698042298329485536,,4.25,
"2022 February 5, 10:30AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5697955587114498928,,5,
"2022 February 5, 11:44AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,You already doing wonderful job. I am grateful to join this team. Thank you,,,,,5697875170367523899,,5,
"2022 February 5, 1:21PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5697709692196293642,,5,
"2022 February 6, 2:39PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5697119300226014253,,5,
"2022 February 7, 10:39AM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5697094092815243269,,5,
"2022 February 7, 12:31PM",Michael Bondarenko,Website Optimisation,5,5,5,5,None! My experience was amazing!,"No, he answered all my questions!",,,,,5697059117836267961,,5,
"2022 February 8, 9:31AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5696200710303677351,,5,
"2022 February 8, 10:14AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5696199707507562818,,5,
"2022 February 8, 3:28PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5695947200229502620,,5,
"2022 February 11, 2:12PM",Joshua Fimmano,Ad Account Review,5,5,5,5,Amazing,All amazing as always!,,,,,5695916501025290698,,5,
"2022 February 11, 3:40PM",Joshua Fimmano,Product Research,4,4,5,5,,,,,,,5694675262538279111,,4.5,
"2022 February 11, 3:51PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5694640856343509026,,5,
"2022 February 12, 11:13AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,He is already doing great job. Helping so much in my success. Thank you,,,,,5694500197011236192,,5,
"2022 February 15, 3:35PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5694336150129325119,,5,
"2022 February 17, 9:31AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,,,,,5694295125713473422,,5,
"2022 February 17, 1:55PM",Michael Bondarenko,Product Research,5,5,5,5,Michael was very warm and great to chat with.,No he was great. Thank you :),,,,,5693685377518830212,,5,
"2022 February 18, 1:16PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5693628436317709649,,5,
"2022 February 18, 4:19PM",Joshua Fimmano,Product Research,3,3,5,3,"Josh was ok. His attitude was friendly and knowledgeable. 
The only issue we (myself and my wife) have is that the product research methods flat out don't really work when using Add Finder and the only way we can get Droppoint to be effective at all is to work target items looking at popular products elsewhere then applying that metod to big spy and add finder. 
It is really labour intensive and doesn't seem we are getting the resources that were suggested when signing up. 
If there is another platform that can be recommend that can assist with product research that would be fantastic.",Michael was great to get me through the door and the Josh has also created a positive environment to get started.,,,,,5693607506818153206,,3.5,
"2022 February 20, 12:31PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5693577442529616928,,5,
"2022 February 20, 2:32PM",Joshua Fimmano,Ad Account Review,5,5,5,5,N/A,"Nothing really, They always exceed my expectations.",,,,,5693393656143756388,,5,
"2022 February 22, 2:40PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5692744837012031829,,5,
"2022 February 22, 3:01PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5692666305325935031,,5,
"2022 February 22, 5:27PM",Joshua Fimmano,Product Research,5,5,5,5,No!,No!,,,,,5692624860518107397,,5,
"2022 February 22, 6:46PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5692591641217841695,,5,
"2022 February 23, 11:56AM",Michael Bondarenko,Website Optimisation,5,5,5,5,If anyone ever leaves a bad review they've got a pole shoved up their crack!,,,,,,5692096229611691853,,5,
"2022 February 23, 8:39PM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5691938204704735287,,5,
"2022 February 24, 3:48PM",Michael Bondarenko,Website Optimisation,5,5,5,5,,,,,,,5691689714525077579,,5,
"2022 February 25, 8:52AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5691547326719578598,,5,
"2022 February 25, 9:04AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,,,,,5690988067216054123,,5,
"2022 February 25, 9:39AM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5690948248716449764,,5,
"2022 February 25, 3:31PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5690938706012292843,,5,
"2022 February 28, 4:53AM",Joshua Fimmano,Website Optimisation,4,4,4,4,,,,,,,5690938509129653885,,4,
"2022 February 28, 9:32AM",Michael Bondarenko,"Ad Angle Review
Ad Account Review",5,5,5,5,Thank you for all the unlimited support that you both give! I really appreciate it! Thank you :),,,,,,5690919140448501829,,5,
"2022 March 1, 8:03AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,,,,,5690866382277626097,,5,
"2022 March 1, 9:42AM",Joshua Fimmano,"Ad Angle Review
Ad Account Review",5,5,5,5,"I LOVE LOVE making these coaching calls with Josh as he's extremely helpful, precise and very friendly.
He always has very helpful tips and they are usually golden tips!!
If I had the choice I would make sure all my future calls are with Josh.",,,,,,5690409672123295808,,5,
"2022 March 1, 9:44AM",Michael Bondarenko,Website Optimisation,5,5,4,5,Michael is very professional and helpful.,,,,,,5690207496418450643,,4.75,
"2022 March 1, 10:31AM",Michael Bondarenko,Website Optimisation,5,5,5,5,,,,,,,5690160925499943248,,5,
"2022 March 1, 4:28PM",Joshua Fimmano,Website Optimisation,5,5,5,5,Josh is such a great coach. Always appreciate his advice.,,,,,,5690094908124050940,,5,
"2022 March 2, 9:02AM",Michael Bondarenko,Website Optimisation,5,5,5,5,,,,,,,5690000929016759257,,5,
"2022 March 2, 2:21PM",Michael Bondarenko,Website Optimisation,4,4,4,4,,,,,,,5689393351513636893,,4,
"2022 March 3, 8:31AM",Michael Bondarenko,Ad Angle Review,5,5,5,5,,,,,,,5689176406415711467,,5,
"2022 March 3, 9:48AM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5688468049805872087,,5,
"2022 March 3, 2:14PM",Michael Bondarenko,Website Optimisation,5,5,5,5,"More time lol, 30 mins goes by so quick",,,,,,5688432901917408501,,5,
"2022 March 4, 8:15AM",Michael Bondarenko,Website Optimisation,5,5,5,5,Not really. He answered my questions and gave me tips on how to improve my website. That's all I can ask for,Micheal was great like always,,,,,5688255007213678670,,5,
"2022 March 4, 8:34AM",Joshua Fimmano,Website Optimisation,5,5,5,5,Josh is so helpful as always.,"Cant be improved, so good already :)",,,,,5687542703128179437,,5,
"2022 March 4, 11:19AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,,,,,5687432868412337255,,5,
"2022 March 4, 12:14PM",Joshua Fimmano,"Website Optimisation
Ad Account Review",5,5,5,5,,,,,,,5687409001218345895,,5,
"2022 March 4, 11:33PM",Joshua Fimmano,Ad Account Review,5,5,5,5,"Nope, everything was perfect!",,,,,,5686811522129466349,,5,
"2022 March 5, 9:33AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5686682058324594020,,5,
"2022 March 5, 4:37PM",Joshua Fimmano,Ad Angle Review,5,5,5,5,"No, my experience was great!",Not that I can think of. I love how encouraging Josh is :),,,,,5686477261515744529,,5,
"2022 March 6, 4:11PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5686468435619018488,,5,
"2022 March 7, 9:02AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,,,,,5686466800511989353,,5,
"2022 March 8, 9:20AM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5686431180228638586,,5,
"2022 March 8, 12:08PM",Joshua Fimmano,"Website Optimisation
Ad Angle Review",5,5,5,5,"Josh is always helpful, informative and is able to deliver information well. My experiences with Josh as my coach have always been great.",,,,,,5685962987316734571,,5,
"2022 March 8, 12:48PM",Joshua Fimmano,"Website Optimisation
Ad Angle Review",5,5,5,5,,,,,,,5685944100018578321,,5,
"2022 March 8, 4:10PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5685930991718905848,,5,
"2022 March 8, 4:31PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5685784705496887285,,5,
"2022 March 8, 9:27PM",Joshua Fimmano,Product Research,4,4,4,4,,,,,,,5685691895428777890,,4,
"2022 March 10, 11:16AM",Michael Bondarenko,Ad Angle Review,5,5,5,5,Thanks Michael great work,,,,,,5685658652913011978,,5,
"2022 March 11, 11:19AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5685654767417608234,,5,
"2022 March 12, 11:33AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5685462522318969108,,5,
"2022 March 12, 2:28PM",Joshua Fimmano,"Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5685078900842585991,,5,
"2022 March 13, 6:51PM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,,,,,,5685009503122084993,,5,
"2022 March 14, 11:47AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5684909751211323667,,5,
"2022 March 15, 9:27AM",Michael Bondarenko,Product Research,5,5,5,5,Way to many reminders emails/txts before the meeting,None at all,,,,,5684899914509662352,,5,
"2022 March 15, 11:51AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,,,,,5684838496178653690,,5,
"2022 March 15, 2:00PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5684561800418690052,,5,
"2022 March 16, 2:41PM",Michael Bondarenko,Product Research,5,5,5,5,Michael was great,,,,,,5684175587265988433,,5,
"2022 March 18, 11:00AM",Joshua Fimmano,Product Research,5,5,5,5,N/A,N/A Josh was really friendly :),,,,,5684149014232163381,,5,
"2022 March 18, 3:06PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5684143338121155485,,5,
"2022 March 18, 3:29PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5684088219329464478,,5,
"2022 March 20, 12:45PM",Joshua Fimmano,Product Research,5,5,5,5,"No, everything was covered!","No, Joshua was very helpful!",,,,,5683853240228993868,,5,
"2022 March 21, 6:03PM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5683672808116230238,,5,
"2022 March 22, 10:24AM",Michael Bondarenko,Ad Angle Review,5,5,5,5,"Always a great experience with Michael. It's been such a long journey and Michael has helped me a lot with my store. Thanks, Michael! Keep thriving!",,,,,,5683286259803337000,,5,
"2022 March 22, 2:01PM",Michael Bondarenko,Website Optimisation,5,5,5,5,It was great,I don't think so,,,,,5683116495619405335,,5,
"2022 March 22, 3:31PM",Joshua Fimmano,"Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5682254841142920366,,5,
"2022 March 22, 4:17PM",Joshua Fimmano,Website Optimisation,5,5,5,5,Nil,"Nil, Josh is a very professional and knowledgeable individual. I'm very happy with the service he provided.",,,,,5681781071225095254,,5,
"2022 March 23, 9:48AM",Michael Bondarenko,Website Optimisation,5,5,5,5,Michael was very thorough and went through things in detail. Wrote out what needs to be done. It was great.,Both are fantastic and so helpful.,,,,,5681746477221769344,,5,
"2022 March 23, 3:01PM",Michael Bondarenko,Product Research,5,5,5,5,,"None, my experiences so far with everyone has been Very positive!",,,,,5681530921023242253,,5,
"2022 March 24, 9:06AM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5681485931021378786,,5,
"2022 March 24, 11:40AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5681446906513202944,,5,
"2022 March 25, 9:41AM",Michael Bondarenko,Product Research,5,5,5,5,Super positive energy and attitude. Effective answers and instructions. I felt encouraged and confident to keep going.,No. He was awesome!,,,,,5681350891872970256,,5,
"2022 March 25, 4:25PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5681293141811844873,,5,
"2022 March 26, 3:29PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5681278744816723833,,5,
"2022 March 26, 3:34PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5680688462121454668,,5,
"2022 March 29, 12:33PM",Michael Bondarenko,Website Optimisation,5,5,5,5,Michael and the team are very helpful and supportive in everything they do :),,,,,,5680625910023483464,,5,
"2022 March 29, 3:14PM",Michael Bondarenko,Product Research,4,4,5,4,,,,,,,5680505263642525840,,4.25,
"2022 March 29, 4:27PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5680477918822488787,,5,
"2022 March 29, 5:56PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5680454964125912822,,5,
"2022 March 29, 6:06PM",Michael Bondarenko,Product Research,5,5,5,5,nothing so far,nothing so far,,,,,5680403809919765490,,5,
"2022 March 30, 10:25AM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5680063046212566192,,5,
"2022 March 30, 10:34AM",Michael Bondarenko,Product Research,5,5,5,5,"He was pretty spot on to the subject, I can't think of any improvement",No,,,,,5679913156513095394,,5,
"2022 March 30, 12:04PM",Michael Bondarenko,Website Optimisation,5,5,5,5,Always great and very helpful,,,,,,5679912069848657790,,5,
"2022 March 31, 9:34AM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5679894300426203001,,5,
"2022 March 31, 11:19AM",Michael Bondarenko,Website Optimisation,5,5,5,5,,,,,,,5679876657441569561,,5,
"2022 April 1, 3:39PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5679726655615713847,,5,
"2022 April 1, 3:44PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5679699276028437928,,5,
"2022 April 2, 10:42AM",Joshua Fimmano,Product Research,3,3,3,3,,,,,,,5679588894424127817,,3,
"2022 April 2, 3:40PM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,,,,,,5679578534513935005,,5,
"2022 April 3, 12:36PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5679574646146740745,,5,
"2022 April 5, 11:20AM",Joshua Fimmano,Product Research,5,5,5,5,The calls are a bit delayed so we kept speaking at the same time. Maybe it's just my connection or something,"N/A
Josh is very friendly and great at building rapport.",,,,,5678973286518357361,,5,
"2022 April 5, 2:46PM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,,,,,,5678883194316725330,,5,
"2022 April 5, 3:54PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5678871992129036579,,5,
"2022 April 9, 9:02AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5678781588818658244,,5,
"2022 April 9, 12:58PM",Joshua Fimmano,Website Optimisation,5,5,5,5,"Great advice.   Keeps it simple.
Thx you",,,,,,5678771268015122033,,5,
"2022 April 9, 2:50PM",Joshua Fimmano,Website Optimisation,5,5,5,5,Nil,"Nil, as always Josh delivers the knowledge and experienced needed for  me to move forward in my journey. Thanks King ?",,,,,5678745550365900179,,5,
"2022 April 10, 6:47AM",Joshua Fimmano,Product Research,5,5,5,5,No,No,,,,,5678665440227563688,,5,
"2022 April 13, 3:23PM",Michael Bondarenko,Product Research,3,5,4,4,Maybe rushed. Call was only 15 mins,,,,,,5678455600123187580,,4,
"2022 April 14, 10:06AM",Michael Bondarenko,Product Research,5,5,5,5,no everything was answered and handelled very professionally,,,,,,5678455380121137508,,5,
"2022 April 15, 7:33AM",Michael Bondarenko,Ad Angle Review,5,5,5,5,Rhank you,,,,,,5678164596838532048,,5,
"2022 April 19, 1:04PM",Michael Bondarenko,Ad Angle Review,5,5,5,5,,,,,,,5678128181717857369,,5,
"2022 April 19, 5:32PM",Joshua Fimmano,"Ad Angle Review
Ad Account Review",5,5,5,5,No ideas or recommendations. Josh is a legend and has answered all my questions and guided me on the next steps.,No ideas or recommendations. Josh is a legend and has answered all my questions and guided me on the next steps.,,,,,5677982773317692463,,5,
"2022 April 20, 3:40PM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5677972775713397309,,5,
"2022 April 20, 4:37PM",Joshua Fimmano,Ad Account Review,5,5,5,5,N/A,N/A,,,,,5677932509808373107,,5,
"2022 April 20, 6:28PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5677428776726505139,,5,
"2022 April 20, 6:31PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5677316729101892345,,5,
"2022 April 21, 10:43AM",Michael Bondarenko,Ad Account Review,4,4,4,4,,,,,,,5677184047461109300,,4,
"2022 April 21, 5:51PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5677086116947655259,,5,
"2022 April 22, 3:56PM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5675405727126377930,,5,
"2022 April 22, 5:40PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5675316447716877689,,5,
"2022 April 22, 8:32PM",Joshua Fimmano,Product Research,4,5,3,3,,,,,,,5675278344417345103,,3.75,
"2022 April 28, 11:13AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5675245348011692600,,5,
"2022 April 28, 2:40PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5675234395215090044,,5,
"2022 April 29, 12:01PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5675213822321717824,,5,
"2022 April 29, 5:19PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5675100970408359112,,5,
"2022 April 29, 5:34PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5674813788819749219,,5,
"2022 April 29, 6:43PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5674449581217601204,,5,
"2022 April 30, 1:33PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5674409797225165854,,5,
"2022 April 30, 2:01PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5674373250227035697,,5,
"2022 April 30, 2:20PM",Joshua Fimmano,Product Research,5,5,5,5,Awesome help thank you,,,,,,5674181308826057583,,5,
"2022 April 30, 2:59PM",Joshua Fimmano,Product Research,5,5,5,5,"I want to keep learning 6fds till I have ideas
I will definitely let 6fds know :)","not at all Josh I definitely recommend to everyone 
He is a great coach
really helpful and easy going 
& straight to the point.",,,,,5673869787313307231,,5,
"2022 May 1, 2:32PM",Joshua Fimmano,"Ad Angle Review
Ad Account Review",5,5,5,5,Very good and informative,No he was very professional and answered all my questions,,,,,5673830117317064158,,5,
"2022 May 3, 11:31AM",Michael Bondarenko,Product Research,5,5,5,5,Great help for my products and will move to next step,Na,,,,,5673755227315127539,,5,
"2022 May 3, 3:39PM",Joshua Fimmano,Product Research,5,5,5,4,your pretty good man - well done jst be more confident in what your saying to people really think you know your shit !,,,,,,5673670912427730822,,4.75,
